seconds,coverage,time
1,0.9382440476190476,3508
2,0.9382440476190476,4489
3,0.9382440476190476,5540
4,0.9382440476190476,6472
5,0.990625,7751
6,0.990625,8555
7,0.990625,9671
8,0.990625,10504
9,0.990625,11773
10,0.990625,12579
11,0.990625,13538
12,0.990625,14502
13,0.990625,15487
14,0.990625,16658
15,0.990625,17548
16,0.990625,18431
17,0.990625,19669
18,0.990625,20549
19,0.990625,21606
20,0.990625,22476
21,0.990625,23593
22,0.990625,24483
23,0.990625,25500
24,0.990625,26484
25,0.990625,27614
26,0.990625,28365
27,0.990625,29677
28,0.990625,30670
29,0.990625,31570
30,0.990625,32630